Country,City,Latitude,Longitude
Afghanistan,Kabul,34.5553494,69.207486
Albania,Tirane,41.3275459,19.8186982
Algeria,Algiers,36.753768,3.0587561
American Samoa,Pago Pago,-14.2732727,-170.7030577
Andorra,Andorra la Vella,42.50631740000001,1.5218355
Angola,Luanda,-8.8146556,13.2301756
Antigua and Barbuda,W. Indies,17.060816,-61.796428
Argentina,Buenos Aires,-34.6036844,-58.3815591
Armenia,Yerevan,40.1872023,44.515209
Aruba,Oranjestad,12.5227171,-70.0352618
Australia,Canberra,-35.2801846,149.1310324
Austria,Vienna,48.2081664,16.3718643
Azerbaijan,Baku,40.40926169999999,49.8670924
Bahamas,Nassau,25.0443312,-77.3503609
Bahrain,Manama,26.2235305,50.5875935
Bangladesh,Dhaka,23.804093,90.4152376
Barbados,Bridgetown,13.0971177,-59.6132388
Belarus,Minsk,53.9006011,27.558972
Belgium,Brussels,50.8476424,4.3571696
Belize,Belmopan,17.2510114,-88.7590201
Benin,Porto-Novo,6.478623799999999,2.6203212
Bhutan,Thimphu,27.471586,89.6386108
Bolivia,La Paz,-16.489689,-68.11929359999999
Bosnia and Herzegovina,Sarajevo,43.8562586,18.4130763
Botswana,Gaborone,-24.6580003,25.9077037
Brazil,Brasilia,-15.7975154,-47.89188739999999
Brazil,Sao Paulo,-23.5557714,-46.6395571
Brazil,Rio de Janeiro,-22.9068467,-43.1728965
Brazil,Salvador,-12.9777334,-38.501648
Brazil,Brasilia,-15.7975154,-47.89188739999999
Brazil,Fortaleza,-3.7327203,-38.5270134
Brazil,Belo Horizonte,-19.919052,-43.9386685
Brazil,Manaus,-3.1190275,-60.0217314
Brazil,Curitiba,-25.4372382,-49.2699727
Brazil,Recife,-8.0577401,-34.8829629
Brazil,Porto Alegre,-30.0368176,-51.2089887
British Virgin Islands,Road Town,18.4286115,-64.6184657
Brunei Darussalam,Bandar Seri Begawan,4.8923413,114.9419021
Bulgaria,Sofia,42.6977082,23.3218675
Burkina Faso,Ouagadougou,12.3714277,-1.5196603
Burundi,Bujumbura,-3.361378,29.3598782
Cambodia,Phnom Penh,11.5563738,104.9282099
Cameroon,Yaounde,3.8616853,11.5202292
Canada,Ottawa,45.4215296,-75.69719309999999
Cape Verde,Praia,14.919775,-23.5073437
Cayman Islands,George Town,19.2965778,-81.3819158
Central African Republic,Bangui,4.362156,18.5827765
Chad,N'Djamena,12.1191352,15.0502875
Chile,Santiago,-33.4488897,-70.6692655
China,Beijing,39.904211,116.407395
Colombia,Bogota,4.710988599999999,-74.072092
Comros,Moroni,-11.7061223,43.2517012
Congo,Brazzaville,-4.2744405,15.2812803
Costa Rica,San Jose,9.9280694,-84.0907246
Cote d'Ivoire,Yamoussoukro,6.816274099999999,-5.274362900000001
Croatia,Zagreb,45.8150108,15.981919
Cuba,Havana,23.1135925,-82.3665956
Cyprus,Nicosia,35.1855659,33.38227639999999
Czech Republic,Prague,50.0755381,14.4378005
Democratic People's Republic of,P'yongyang,39.0392193,125.7625241
Democratic Republic of the Congo,Kinshasa,-4.3032527,15.310528
Denmark,Copenhagen,55.6760968,12.5683371
Djibouti,Djibouti,11.825138,42.590275
Dominica,Roseau,15.3091676,-61.37935539999999
Dominica Republic,Santo Domingo,18.4626178,-69.93609239999999
East Timor,Dili,-8.5563336,125.5798233
Ecuador,Quito,-0.1806532,-78.4678382
Egypt,Cairo,30.0444196,31.2357116
Egypt,Cairo,30.0444196,31.2357116
Egypt,Alexandria,31.2000924,29.9187387
Egypt,Giza,30.0130557,31.2088526
Egypt,Shubra El Kheima,30.1233853,31.26092879999999
Egypt,Port Said,31.2652893,32.3018661
Egypt,Suez,29.9668343,32.5498069
Egypt,Luxor,25.6872431,32.6396357
Egypt,Asyut,27.1783117,31.1859257
Egypt,Ismailia,30.5964923,32.2714587
Egypt,Mansoura,31.0409483,31.3784704
El Salvador,San Salvador,13.6929403,-89.2181911
Equatorial Guinea,Malabo,3.7549606,8.7821344
Eritrea,Asmara,15.3317304,38.9300394
Estonia,Tallinn,59.43696079999999,24.7535746
Ethiopia,Addis Ababa,9.0191936,38.7524635
Falkland Islands (Malvinas),Stanley,-51.6927517,-57.86196
Faroe Islands,Torshavn,62.01072479999999,-6.7740852
Fiji,Suva,-18.1405049,178.4232507
Finland,Helsinki,60.16985569999999,24.938379
France,Paris,48.856614,2.3522219
French Guiana,Cayenne,4.937977399999999,-52.3354386
French Polynesia,Papeete,-17.5324608,-149.5677151
Gabon,Libreville,0.4077972,9.440283299999999
Gambia,Banjul,13.454375,-16.5753186
Georgia,T'bilisi,41.6938026,44.80151679999999
Germany,Berlin,52.52000659999999,13.404954
Ghana,Accra,5.559284600000001,-0.1974306
Greece,Athens,37.9838096,23.7275388
Greenland,Nuuk,64.17432339999999,-51.7372787
Guadeloupe,Basse-Terre,15.9965719,-61.73172150000001
Guatemala,Guatemala,15.783471,-90.23075899999999
Guernsey,St. Peter Port,49.4598285,-2.5351082
Guinea,Conakry,9.5090945,-13.7119312
Guinea-Bissau,Bissau,11.803749,-15.180413
Guyana,Georgetown,6.8012793,-58.1551255
Haiti,Port-au-Prince,18.594395,-72.3074326
Heard Island and McDonald Islands,Heard Island and McDonald Islands,-53.08181,73.50415799999999
Honduras,Tegucigalpa,14.065049,-87.1715002
Hungary,Budapest,47.497912,19.040235
Iceland,Reykjavik,64.1469868,-21.9407552
India,New Delhi,28.6139391,77.2090212
India,Agra,27.1766701,78.00807449999999
India,Ahmedabad,23.022505,72.5713621
India,Amritsar,31.6339793,74.8722642
India,Bangalore,12.9715987,77.5945627
India,Chennai,13.0826802,80.2707184
India,Delhi,28.7040592,77.10249019999999
India,Gurgaon,28.4594965,77.0266383
India,Hyderabad,17.406498,78.47724389999999
India,Indore,22.7195687,75.8577258
India,Jaipur,26.9124336,75.7872709
India,Kanpur,26.449923,80.3318736
India,Kolkata,22.572646,88.36389500000001
India,Lucknow,26.8466937,80.94616599999999
India,Mumbai,19.0759837,72.8776559
India,Pune,18.5204303,73.8567437
India,Surat,21.1702401,72.83106070000001
India,Udaipur,24.585445,73.712479
India,Varanasi,25.3176452,82.9739144
India,Visakhapatnam,17.6868159,83.2184815
Indonesia,Jakarta,-6.1944491,106.8229198
Iran (Islamic Republic of),Tehran,35.7218583,51.3346954
Iraq,Baghdad,33.315241,44.3660671
Ireland,Dublin,53.3498053,-6.2603097
Israel,Jerusalem,31.768319,35.21371
Italy,Rome,41.9027835,12.4963655
Jamaica,Kingston,18.0178743,-76.8099041
Japan,Tokyo,35.6764225,139.650027
Japan,Osaka,34.6937249,135.5022535
Japan,Kyoto,35.011564,135.7681489
Japan,Yokohama,35.4436739,139.6379639
Japan,Nagoya,35.18145060000001,136.9065571
Japan,Sapporo,43.0617713,141.3544506
Japan,Fukuoka,33.5901838,130.4016888
Japan,Kawasaki,35.5308325,139.7029125
Japan,Kobe,34.6900806,135.1956311
Japan,Saitama,35.8616486,139.6454782
Jordan,Amman,31.9539494,35.910635
Kazakhstan,Astana,51.1655126,71.4272222
Kenya,Nairobi,-1.2920659,36.8219462
Kiribati,Tarawa,1.4518171,172.9716617
Kuwait,Kuwait,29.31166,47.481766
Kyrgyzstan,Bishkek,42.8746212,74.5697617
Lao People's Democratic Republic,Vientiane,17.9757058,102.6331035
Latvia,Riga,56.9676941,24.1056221
Lebanon,Beirut,33.8937913,35.5017767
Lesotho,Maseru,-29.3150767,27.4869229
Liberia,Monrovia,6.3156068,-10.8073698
Libyan Arab Jamahiriya,Tripoli,32.8877109,13.187186
Liechtenstein,Vaduz,47.1410303,9.5209277
Lithuania,Vilnius,54.6871555,25.2796514
Luxembourg,Luxembourg,49.815273,6.129582999999999
"Macao, China",Macau,22.198745,113.543873
Madagascar,Antananarivo,-18.9184607,47.5211293
Malawi,Lilongwe,-13.9865252,33.76806
Malaysia,Kuala Lumpur,3.1319197,101.6840589
Maldives,Male,4.1754959,73.5093474
Mali,Bamako,12.6392316,-8.0028892
Malta,Valletta,35.8992375,14.5140996
Martinique,Fort-de-France,14.6060576,-61.06988399999999
Mauritania,Nouakchott,18.0735299,-15.9582372
Mayotte,Mamoudzou,-12.78064,45.23269639999999
Mexico,Mexico,23.634501,-102.552784
Mexico,Mexico City,19.4326077,-99.133208
Mexico,Guadalajara,20.6751707,-103.3473385
Mexico,Monterrey,25.6866142,-100.3161126
Mexico,Puebla,19.0414398,-98.2062727
Mexico,Tijuana,32.5149469,-117.0382471
Mexico,Ciudad Juarez,31.6903638,-106.4245478
Mexico,Leon,21.1250077,-101.6859605
Mexico,Zapopan,20.6719563,-103.416501
Mexico,Merida,20.9673702,-89.5925857
Mexico,San Luis Potosi,22.1520892,-100.9733024
Micronesia (Federated States of),Palikir,6.9234629,158.1598666
"Moldova, Republic of",Chisinau,47.0104529,28.8638103
Mozambique,Maputo,-25.969248,32.5731746
Myanmar,Yangon,16.840939,96.173526
Namibia,Windhoek,-22.5649344,17.0842147
Nepal,Kathmandu,27.7172453,85.3239605
Netherlands,Amsterdam,52.3675734,4.9041389
Netherlands Antilles,Willemstad,12.103852,-68.9323695
New Caledonia,Noumea,-22.2716866,166.4398627
New Zealand,Wellington,-41.2923814,174.7787463
Nicaragua,Managua,12.1149926,-86.2361744
Niger,Niamey,13.5115963,2.1253854
Nigeria,Abuja,9.0562646,7.4985259
Nigeria,Lagos,6.5243793,3.3792057
Nigeria,Abuja,9.0562646,7.4985259
Nigeria,Kano,12.0021794,8.591956099999999
Nigeria,Ibadan,7.3775355,3.9470396
Nigeria,Port Harcourt,4.847222599999999,6.974603999999999
Nigeria,Benin City,6.334986,5.6037465
Nigeria,Maiduguri,11.8310981,13.1509672
Nigeria,Zaria,11.1247243,7.725376
Nigeria,Aba,5.1215877,7.3732655
Nigeria,Jos,9.896527299999999,8.8583309
Norfolk Island,Kingston,-29.0559683,167.9601828
Northern Mariana Islands,Saipan,15.1850483,145.7467259
Norway,Oslo,59.9138688,10.7522454
Oman,Masqat,23.5880307,58.3828717
Pakistan,Islamabad,33.6844202,73.04788479999999
Palau,Koror,7.3410628,134.4771596
Panama,Panama,8.537981,-80.782127
Papua New Guinea,Port Moresby,-9.4790043,147.1494164
Paraguay,Asuncion,-25.2637399,-57.57592599999999
Peru,Lima,-12.0463731,-77.042754
Philippines,Manila,14.5995124,120.9842195
Poland,Warsaw,52.2296756,21.0122287
Portugal,Lisbon,38.7222524,-9.1393366
Puerto Rico,San Juan,18.4670588,-66.1184593
Qatar,Doha,25.2854473,51.53103979999999
Rawanda,Kigali,-1.9440727,30.0618851
Republic of Korea,Seoul,37.5518911,126.9917937
Romania,Bucuresti,44.4267674,26.1025384
Russian Federation,Moskva,55.755826,37.6173
Saint Kitts and Nevis,Basseterre,17.3026058,-62.7176924
Saint Lucia,Castries,14.0110158,-60.98972389999999
Saint Pierre and Miquelon,Saint-Pierre,46.7809057,-56.1720053
Saint vincent and the Grenadines,Kingstown,13.1600249,-61.2248157
Samoa,Apia,-13.831609,-171.7689086
San Marino,San Marino,43.9355907,12.4472806
Sao Tome and Principe,Sao Tome,0.3375532,6.7298686
Saudi Arabia,Riyadh,24.7135517,46.6752957
Senegal,Dakar,14.716677,-17.4676861
Sierra Leone,Freetown,8.487080299999999,-13.2354918
Slovakia,Bratislava,48.1485965,17.1077477
Slovenia,Ljubljana,46.0569465,14.5057515
Solomon Islands,Honiara,-9.4306698,159.9526758
Somalia,Mogadishu,2.037148,45.3379067
South Africa,Pretoria,-25.7449721,28.1879502
South Africa,Bloemfontein,-29.1153292,26.2186334
South Africa,Johannesburg,-26.2041028,28.0473051
South Africa,Cape Town,-33.9248685,18.4240553
South Africa,Durban,-29.85868039999999,31.0218404
South Africa,Pretoria,-25.7449721,28.1879502
South Africa,Port Elizabeth,-33.9608369,25.6022423
South Africa,Bloemfontein,-29.1153292,26.2186334
South Africa,East London,-33.0198434,27.903905
South Africa,Polokwane,-23.8961708,29.4486263
South Africa,Nelspruit,-25.4752984,30.9694163
South Africa,Kimberley,-28.7435198,24.7626077
South Korea,Seoul,37.5518911,126.9917937
South Korea,Busan,35.2100142,129.0688702
South Korea,Incheon,37.4562557,126.7052062
South Korea,Daegu,35.8294374,128.5655119
South Korea,Daejeon,36.3398175,127.3940486
South Korea,Gwangju,35.1557358,126.8354271
South Korea,Suwon,37.2803896,127.0077847
South Korea,Ulsan,35.5537228,129.2380554
South Korea,Changwon,35.2028593,128.6000923
South Korea,Seongnam,37.4073695,127.1162181
Spain,Madrid,40.4167754,-3.7037902
Sri Lanka,Colombo,6.9270786,79.861243
Sri Lanka,Moratuwa,6.788070599999999,79.8912813
Sri Lanka,Galle,6.032894799999999,80.2167912
Sri Lanka,Anuradhapura,8.311351799999999,80.4036508
Sri Lanka,Jaffna,9.6614981,80.02554649999999
Sri Lanka,Batticaloa,7.7249146,81.6966911
Sudan,Khartoum,15.597431,32.535587
Suriname,Paramaribo,5.8520355,-55.2038278
Swaziland,Mbabane,-26.3263561,31.1441558
Sweden,Stockholm,59.32932349999999,18.0685808
Switzerland,Bern,46.9479739,7.4474468
Syrian Arab Republic,Damascus,33.5138073,36.2765279
Tajikistan,Dushanbe,38.5597722,68.7870384
Thailand,Bangkok,13.7563309,100.5017651
Thailand,Bangkok,13.7563309,100.5017651
Thailand,Chiang Mai,18.7883439,98.98530079999999
Thailand,Pattaya,12.9235557,100.8824551
Thailand,Phuket,7.8804479,98.3922504
Thailand,Nakhon Ratchasima,14.9738493,102.083652
Thailand,Udon Thani,17.3646969,102.8158924
Thailand,Hat Yai,7.0086472,100.4746879
Thailand,Chon Buri,13.2017461,101.2523792
Thailand,Pak Kret,13.8994973,100.5426442
Thailand,Nonthaburi,13.8591084,100.5216508
The Former Yugoslav Republic of Macedonia,Skopje,41.9981294,21.4254355
Togo,Lome,6.129557699999999,1.2196502
Tonga,Nuku'alofa,-21.1343065,-175.2004858
Tunisia,Tunis,36.8064948,10.1815316
Turkey,Ankara,39.9333635,32.8597419
Turkmenistan,Ashgabat,37.9600766,58.32606289999999
Tuvalu,Funafuti,-8.5211471,179.1961926
Uganda,Kampala,0.3151692,32.5816313
Ukraine,Kiev,50.4503596,30.5245025
United Arab Emirates,Abu Dhabi,24.453884,54.3773438
United Kingdom of Great Britain and Northern Ireland,London,51.5072178,-0.1275862
United Republic of Tanzania,Dodoma,-6.1811245,35.746877
United States of America,Washington DC,38.9071923,-77.0368707
United States of Virgin Islands,Charlotte Amalie,18.3419004,-64.9307007
Uruguay,Montevideo,-34.9055016,-56.1851147
Uzbekistan,Tashkent,41.2994958,69.2400734
Vanuatu,Port-Vila,-17.742979,168.3173027
Venezuela,Caracas,10.4805937,-66.90360629999999
Viet Nam,Hanoi,21.0277644,105.8341598
Yugoslavia,Belgrade,44.8125449,20.46123
Zambia,Lusaka,-15.4154677,28.2773267
Zimbabwe,Harare,-17.8262928,31.0503723
